,TimeStamp,StandardTemperature,Humidity,Wind,Ticket1,Ticket2,Time,Date,Day,Weekend,Season,quarters
0,2068-04-18 03:00:00,0.2848355924,47.75442,0.22155355039,1,3,03:00:00,2068-04-18,Wednesday,0,Spring,q2
1,2068-05-20 19:00:00,0.6145879472,48.729,0.41352044979,108,233,19:00:00,2068-05-20,Sunday,1,Spring,q2
2,2067-06-10 21:00:00,0.6145879472,28.26282,0.10340485045,52,197,21:00:00,2067-06-10,Friday,0,Summer,q2
3,2067-01-08 02:00:00,0.2697973812,77.9664,0.0,6,28,02:00:00,2067-01-08,Saturday,1,Winter,q1
4,2067-08-07 00:00:00,0.689581132,53.6019,0.08866100096,34,81,00:00:00,2067-08-07,Sunday,1,Summer,q3
5,2068-02-27 22:00:00,0.3148130792,43.8561,0.08866100096,10,54,22:00:00,2068-02-27,Monday,0,Winter,q1
6,2067-08-06 00:00:00,0.689581132,53.6019,0.1919668994,61,74,00:00:00,2067-08-06,Saturday,1,Summer,q3
7,2068-05-01 14:00:00,0.4796397888,24.3645,0.38403275081,51,167,14:00:00,2068-05-01,Tuesday,0,Spring,q2
8,2067-06-12 20:00:00,0.6145879472,67.24602,0.1919668994,85,196,20:00:00,2067-06-12,Sunday,1,Summer,q2
9,2067-01-18 19:00:00,0.2248806188,90.63594,0.0,1,52,19:00:00,2067-01-18,Tuesday,0,Winter,q1
10,2067-08-12 08:00:00,0.644565434,63.3477,0.22155355039,40,416,08:00:00,2067-08-12,Friday,0,Summer,q3
11,2067-06-26 00:00:00,0.644565434,63.3477,0.0,19,72,00:00:00,2067-06-26,Sunday,1,Summer,q2
12,2067-03-03 18:00:00,0.299774868,84.78846,0.32495840084,6,133,18:00:00,2067-03-03,Thursday,0,Spring,q1
13,2067-05-31 23:00:00,0.6145879472,72.11892,0.16247920042,14,54,23:00:00,2067-05-31,Tuesday,0,Spring,q2
