Ticket1,Ticket2,StandardTemperature,Wind,Humidity_dec,Spring,Summer,Winter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1,3,0.2848355924,0.22155355039000002,0.47754420000000003,0,0,0,0,0,0,0,0,0
108,233,0.6145879472,0.41352044979,0.48729,0,0,0,0,0,0,0,0,0
52,197,0.6145879472,0.10340485045,0.2826282,0,0,0,0,0,0,0,0,0
6,28,0.2697973812,0.0,0.7796639999999999,0,0,0,0,0,0,0,0,0
34,81,0.689581132,0.08866100096000001,0.536019,0,0,0,0,0,0,0,0,0
10,54,0.3148130792,0.08866100096000001,0.438561,0,0,0,0,0,0,0,0,0
61,74,0.689581132,0.1919668994,0.536019,0,0,0,0,0,0,0,0,0
51,167,0.4796397888,0.38403275081,0.243645,0,0,0,0,0,0,0,0,0
85,196,0.6145879472,0.1919668994,0.6724602000000001,0,0,0,0,0,0,0,0,0
1,52,0.2248806188,0.0,0.9063594,0,0,0,0,0,0,0,0,0
40,416,0.644565434,0.22155355039000002,0.6334770000000001,0,0,0,0,0,0,0,0,0
19,72,0.644565434,0.0,0.6334770000000001,0,0,0,0,0,0,0,0,0
6,133,0.299774868,0.32495840084000005,0.8478846,0,0,0,0,0,0,0,0,0
14,54,0.6145879472,0.16247920042000003,0.7211891999999999,0,0,0,0,0,0,0,0,0
10,25,0.689581132,0.0,0.7699181999999999,0,0,0,0,0,0,0,0,0
63,188,0.839468566,0.25104124937,0.40932359999999995,0,0,0,0,0,0,0,0,0
1,2,0.2248806188,0.25104124937,0.6334770000000001,0,0,0,0,0,0,0,0,0
1,17,0.344790566,0.10340485045,0.7894098,0,0,0,0,0,0,0,0,0
114,647,0.6145879472,0.25104124937,0.3995778,0,0,0,0,0,0,0,0,0
276,370,0.6145879472,0.25104124937,0.37034040000000007,0,0,0,0,0,0,0,0,0
61,152,0.5246554868,0.13289254943,0.584748,0,0,0,0,0,0,0,0,0
15,364,0.49467799999999995,0.29537174985,0.5750022,0,0,0,0,0,0,0,0,0
17,272,0.3297523548,0.35444609982,0.5555106,0,0,0,0,0,0,0,0,0
49,233,0.6596036452,0.0,0.4970358,0,0,0,0,0,0,0,0,0
169,164,0.7195586187999999,0.16247920042000003,0.18517020000000003,0,0,0,0,0,0,0,0,0
71,245,0.2848355924,0.28062790035999996,0.5944938000000001,0,0,0,0,0,0,0,0,0
230,255,0.539693698,0.16247920042000003,0.2241534,0,0,0,0,0,0,0,0,0
30,80,0.5546329736,0.0,0.8576304,0,0,0,0,0,0,0,0,0
1,6,0.5996486716,0.0,0.7114434,0,0,0,0,0,0,0,0,0
2,7,0.3597298416,0.0,0.97458,0,0,0,0,0,0,0,0,0
8,96,0.3148130792,0.25104124937,0.47754420000000003,0,0,0,0,0,0,0,0,0
28,208,0.6296261584,0.08866100096000001,0.6334770000000001,0,0,0,0,0,0,0,0,0
34,221,0.644565434,0.0,0.5262732,0,0,0,0,0,0,0,0,0
1,25,0.3297523548,0.13289254943,0.6919518000000001,0,0,0,0,0,0,0,0,0
1,8,0.6745429208,0.1919668994,0.6822060000000001,0,0,0,0,0,0,0,0,0
77,425,0.689581132,0.1919668994,0.6432228000000001,0,0,0,0,0,0,0,0,0
34,172,0.5996486716,0.1919668994,0.6334770000000001,0,0,0,0,0,0,0,0,0
10,12,0.5846104604,0.10340485045,0.7114434,0,0,0,0,0,0,0,0,0
1,5,0.4796397888,0.13289254943,0.8576304,0,0,0,0,0,0,0,0,0
149,127,0.449662302,0.13289254943,0.2728824,0,0,0,0,0,0,0,0,0
5,211,0.299774868,0.16247920042000003,0.40932359999999995,0,0,0,0,0,0,0,0,0
71,481,0.6145879472,0.13289254943,0.2826282,0,0,0,0,0,0,0,0,0
