StandardTemperature,Humidity,Wind,Weekend,Fall,Spring,Summer,Winter,Ticket1,Ticket2
0.2848355924,47.75442,0.22155355039,0,0,1,0,0,1,3
0.6145879472,48.729,0.41352044979,1,0,1,0,0,108,233
0.6145879472,28.26282,0.10340485045,0,0,0,1,0,52,197
0.2697973812,77.9664,0.0,1,0,0,0,1,6,28
0.689581132,53.6019,0.08866100096,1,0,0,1,0,34,81
0.3148130792,43.8561,0.08866100096,0,0,0,0,1,10,54
0.689581132,53.6019,0.1919668994,1,0,0,1,0,61,74
0.4796397888,24.3645,0.38403275081,0,0,1,0,0,51,167
0.6145879472,67.24602,0.1919668994,1,0,0,1,0,85,196
0.2248806188,90.63594,0.0,0,0,0,0,1,1,52
0.644565434,63.3477,0.22155355039,0,0,0,1,0,40,416
0.644565434,63.3477,0.0,1,0,0,1,0,19,72
0.299774868,84.78846,0.32495840084,0,0,1,0,0,6,133
0.6145879472,72.11892,0.16247920042,0,0,1,0,0,14,54
0.689581132,76.99182,0.0,0,0,0,1,0,10,25
0.839468566,40.93236,0.25104124937,1,0,0,1,0,63,188
0.2248806188,63.3477,0.25104124937,1,0,1,0,0,1,2
0.344790566,78.94098,0.10340485045,0,0,1,0,0,1,17
0.6145879472,39.95778,0.25104124937,0,0,1,0,0,114,647
0.6145879472,37.03404,0.25104124937,1,0,0,1,0,276,370
0.5246554868,58.4748,0.13289254943,0,0,1,0,0,61,152
0.494678,57.50022,0.29537174985,0,0,0,0,1,15,364
0.3297523548,55.55106,0.35444609982,0,0,1,0,0,17,272
0.6596036452,49.70358,0.0,0,0,0,1,0,49,233
0.7195586188,18.51702,0.16247920042,1,0,0,1,0,169,164
0.2848355924,59.44938,0.28062790036,1,0,0,0,1,71,245
0.539693698,22.41534,0.16247920042,1,0,1,0,0,230,255
0.5546329736,85.76304,0.0,1,1,0,0,0,30,80
0.5996486716,71.14434,0.0,0,0,0,1,0,1,6
0.3597298416,97.458,0.0,1,0,1,0,0,2,7
0.3148130792,47.75442,0.25104124937,0,0,0,0,1,8,96
0.6296261584,63.3477,0.08866100096,0,0,0,1,0,28,208
0.644565434,52.62732,0.0,0,0,0,1,0,34,221
0.3297523548,69.19518,0.13289254943,0,0,1,0,0,1,25
0.6745429208,68.2206,0.1919668994,0,0,0,1,0,1,8
0.689581132,64.32228,0.1919668994,0,0,0,1,0,77,425
0.5996486716,63.3477,0.1919668994,0,0,1,0,0,34,172
0.5846104604,71.14434,0.10340485045,0,1,0,0,0,10,12
0.4796397888,85.76304,0.13289254943,0,0,1,0,0,1,5
0.449662302,27.28824,0.13289254943,1,0,1,0,0,149,127
0.299774868,40.93236,0.16247920042,0,0,0,0,1,5,211
0.6145879472,28.26282,0.13289254943,0,0,1,0,0,71,481
0.539693698,80.89014,0.22155355039,1,0,1,0,0,74,154
0.839468566,32.16114,0.0,0,0,0,1,0,50,155
0.1798649208,41.90694,0.1919668994,0,0,0,0,1,2,88
0.149887434,52.62732,0.10340485045,0,0,0,0,1,10,415
0.4347230264,79.91556,0.16247920042,0,1,0,0,0,30,167
0.3297523548,40.93236,0.0,0,0,0,0,1,8,78
0.2248806188,67.24602,0.0,0,0,0,0,1,1,3
0.5097162112,97.458,0.0,0,0,1,0,0,5,93
0.6296261584,67.24602,0.25104124937,0,0,0,1,0,2,5
0.5097162112,58.4748,0.22155355039,0,1,0,0,0,22,133
0.494678,75.04266,0.13289254943,0,0,1,0,0,14,22
0.5846104604,71.14434,0.1919668994,1,1,0,0,0,6,34
0.5097162112,62.37312,0.25104124937,0,0,1,0,0,42,232
0.7344978944,57.50022,0.10340485045,0,1,0,0,0,73,166
0.2248806188,57.50022,0.0,0,0,0,0,1,3,53
0.4347230264,79.91556,0.1919668994,1,1,0,0,0,12,26
0.299774868,90.63594,0.22155355039,0,0,1,0,0,5,48
0.5246554868,50.67816,0.0,1,0,1,0,0,29,103
0.3297523548,78.94098,0.08866100096,0,1,0,0,0,13,281
0.6745429208,64.32228,0.10340485045,0,0,0,1,0,85,238
0.4047455396,36.05946,0.25104124937,0,0,1,0,0,15,42
0.4196848152,75.04266,0.10340485045,0,0,0,0,1,7,73
0.4047455396,84.78846,0.35444609982,0,1,0,0,0,9,388
0.6596036452,46.77984,0.13289254943,0,0,0,1,0,96,295
0.7344978944,57.50022,0.29537174985,0,0,0,1,0,42,168
0.6296261584,23.38992,0.1919668994,0,0,0,1,0,52,287
0.5846104604,76.01724,0.10340485045,1,0,1,0,0,62,224
0.494678,50.67816,0.28062790036,0,0,1,0,0,64,281
0.5097162112,62.37312,0.13289254943,0,0,1,0,0,29,246
0.4347230264,52.62732,0.25104124937,0,0,1,0,0,8,151
0.6145879472,51.65274,0.28062790036,0,0,0,1,0,2,5
0.5097162112,85.76304,0.16247920042,0,0,1,0,0,42,285
0.5097162112,66.27144,0.13289254943,1,0,1,0,0,23,73
0.8843853284,40.93236,0.28062790036,1,0,0,1,0,81,219
0.5996486716,59.44938,0.0,1,0,1,0,0,182,364
0.2248806188,62.37312,0.16247920042,0,0,0,0,1,5,50
0.6296261584,33.13572,0.22155355039,0,0,0,1,0,34,179
0.1798649208,45.80526,0.10340485045,1,0,0,0,1,3,43
0.344790566,33.13572,0.08866100096,0,0,1,0,0,11,93
0.4047455396,56.52564,0.1919668994,1,0,0,0,1,3,51
0.3897073284,74.06808,0.0,1,0,0,0,1,19,73
0.4647005132,46.77984,0.54641299922,0,1,0,0,0,39,118
0.299774868,43.8561,0.16247920042,0,1,0,0,0,5,80
0.4047455396,38.9832,0.32495840084,0,0,0,0,1,10,164
0.6145879472,51.65274,0.13289254943,0,0,0,1,0,80,243
0.2697973812,50.67816,0.22155355039,0,0,1,0,0,17,74
0.644565434,22.41534,0.60548734919,0,0,1,0,0,84,284
0.2548581056,57.50022,0.0,0,0,0,0,1,3,40
0.5097162112,66.27144,0.0,0,0,0,1,0,32,638
0.3297523548,78.94098,0.13289254943,0,0,0,0,1,30,137
0.449662302,70.16976,0.22155355039,0,0,1,0,0,47,106
0.5846104604,67.24602,0.10340485045,1,0,0,1,0,25,52
0.7195586188,44.83068,0.29537174985,1,0,0,1,0,148,244
0.689581132,76.99182,0.1919668994,0,0,0,1,0,26,124
0.4196848152,37.03404,0.1919668994,1,1,0,0,0,92,210
0.449662302,85.76304,0.10340485045,1,0,1,0,0,2,5
0.494678,46.77984,0.28062790036,0,1,0,0,0,47,121
0.6596036452,46.77984,0.10340485045,1,0,0,1,0,137,197
0.539693698,71.14434,0.10340485045,1,0,0,1,0,2,14
0.5097162112,31.18656,0.0,0,0,1,0,0,38,223
0.689581132,64.32228,0.10340485045,0,0,0,1,0,49,620
0.7045204076,72.11892,0.13289254943,0,1,0,0,0,41,371
0.2548581056,67.24602,0.0,1,0,0,0,1,2,32
0.0749931848,51.65274,0.25104124937,1,0,0,0,1,1,27
0.6145879472,35.08488,0.28062790036,0,0,0,0,1,69,165
0.644565434,56.52564,0.51692530024,0,0,1,0,0,37,123
0.7795135924,42.88152,0.29537174985,1,0,0,1,0,99,269
0.3597298416,59.44938,0.0,0,0,0,0,1,2,2
0.494678,70.16976,0.0,0,1,0,0,0,21,135
0.6145879472,39.95778,0.44310710078,0,0,0,1,0,63,221
0.5696711848,80.89014,0.1919668994,1,0,0,1,0,1,2
0.2098424076,50.67816,0.38403275081,0,0,0,0,1,8,219
0.5996486716,18.51702,0.32495840084,1,0,1,0,0,233,245
0.5246554868,80.89014,0.28062790036,0,1,0,0,0,11,48
0.7195586188,68.2206,0.28062790036,0,0,0,1,0,50,165
0.5097162112,85.76304,0.16247920042,0,1,0,0,0,2,5
0.1349481584,48.729,0.29537174985,0,0,0,0,1,1,3
0.6145879472,51.65274,0.32495840084,0,0,1,0,0,103,668
0.8094910792,48.729,0.1919668994,0,0,0,1,0,23,125
0.5097162112,71.14434,0.28062790036,0,0,1,0,0,65,156
0.2848355924,44.83068,0.51692530024,0,0,0,0,1,1,2
0.3297523548,38.9832,0.28062790036,1,0,1,0,0,41,126
0.5246554868,58.4748,0.25104124937,1,0,0,1,0,90,244
0.5846104604,71.14434,0.16247920042,1,1,0,0,0,18,19
0.689581132,68.2206,0.25104124937,1,0,0,1,0,9,80
0.2098424076,84.78846,0.28062790036,1,1,0,0,0,8,44
0.149887434,41.90694,0.32495840084,0,0,0,0,1,3,51
0.6145879472,72.11892,0.10340485045,0,0,0,1,0,1,11
0.3897073284,36.05946,0.67940450066,0,0,1,0,0,11,77
0.539693698,71.14434,0.13289254943,0,0,1,0,0,76,481
0.6596036452,32.16114,0.28062790036,0,0,0,1,0,104,385
0.4647005132,79.91556,0.1919668994,0,1,0,0,0,15,122
0.6145879472,48.729,0.16247920042,1,0,0,1,0,21,76
0.0299774868,39.95778,0.25104124937,1,0,0,0,1,4,38
0.6745429208,64.32228,0.0,0,0,0,1,0,74,155
0.4196848152,91.61052,0.22155355039,0,0,0,0,1,6,26
0.299774868,59.44938,0.32495840084,0,1,0,0,0,8,75
0.4196848152,91.61052,0.0,0,1,0,0,0,6,238
0.5097162112,85.76304,0.16247920042,0,0,1,0,0,54,112
0.6145879472,72.11892,0.1919668994,0,0,0,1,0,1,5
0.6145879472,34.1103,0.0,0,0,0,1,0,27,146
0.4347230264,75.04266,0.13289254943,0,0,1,0,0,10,8
0.3148130792,59.44938,0.10340485045,0,0,0,0,1,2,11
0.344790566,78.94098,0.13289254943,1,0,1,0,0,1,37
0.4196848152,97.458,0.44310710078,1,0,1,0,0,1,6
0.6596036452,72.11892,0.13289254943,0,0,0,1,0,22,482
0.4796397888,35.08488,0.57599965021,0,0,1,0,0,56,99
0.5097162112,66.27144,0.16247920042,0,1,0,0,0,22,299
0.449662302,91.61052,0.16247920042,0,0,1,0,0,15,126
0.4196848152,97.458,0.22155355039,1,0,1,0,0,19,45
0.5246554868,20.46618,0.29537174985,0,0,1,0,0,47,158
0.2248806188,46.77984,0.29537174985,0,0,0,0,1,2,57
0.7045204076,60.42396,0.29537174985,0,0,0,1,0,89,553
0.5246554868,91.61052,0.25104124937,0,0,1,0,0,3,10
0.6145879472,72.11892,0.13289254943,1,0,0,1,0,8,11
0.494678,91.61052,0.29537174985,0,0,1,0,0,4,63
0.5246554868,91.61052,0.0,0,1,0,0,0,24,126
0.299774868,74.06808,0.32495840084,0,0,1,0,0,11,103
0.4196848152,85.76304,0.08866100096,0,0,1,0,0,1,6
0.149887434,61.39854,0.16247920042,0,0,0,0,1,7,54
0.2248806188,39.95778,0.38403275081,0,0,0,0,1,1,15
0.7045204076,50.67816,0.22155355039,0,0,0,1,0,138,448
0.5846104604,76.01724,0.1919668994,0,0,1,0,0,39,187
0.494678,46.77984,0.10340485045,0,0,1,0,0,30,177
0.449662302,79.91556,0.0,1,0,1,0,0,24,83
0.2697973812,90.63594,0.0,0,0,0,0,1,11,53
0.7195586188,41.90694,0.1919668994,1,0,0,1,0,204,400
0.4796397888,57.50022,0.08866100096,0,0,1,0,0,17,34
0.194903132,90.63594,0.16247920042,0,0,0,0,1,12,185
0.5996486716,62.37312,0.1919668994,0,0,1,0,0,57,221
0.5097162112,97.458,0.08866100096,0,0,1,0,0,3,9
0.2248806188,73.0935,0.13289254943,1,0,0,0,1,2,8
0.299774868,59.44938,0.38403275081,1,0,1,0,0,14,12
0.5246554868,66.27144,0.16247920042,0,1,0,0,0,20,182
0.2548581056,73.0935,0.08866100096,0,0,0,0,1,1,11
0.4647005132,22.41534,0.29537174985,0,0,1,0,0,116,298
0.7644753812,29.2374,0.25104124937,1,0,0,1,0,118,288
0.4047455396,15.59328,0.64981784967,1,0,0,0,1,19,38
0.4196848152,91.61052,0.13289254943,1,1,0,0,0,4,8
0.5696711848,80.89014,0.0,1,1,0,0,0,56,101
0.3297523548,84.78846,0.13289254943,1,0,1,0,0,44,91
0.689581132,68.2206,0.13289254943,1,0,0,1,0,13,82
0.194903132,36.05946,0.25104124937,0,0,0,0,1,10,51
0.344790566,40.93236,0.0,0,0,0,0,1,15,103
0.6596036452,26.31366,0.44310710078,0,0,0,1,0,101,692
0.4047455396,60.42396,0.28062790036,1,0,0,0,1,2,18
0.5846104604,76.01724,0.13289254943,0,0,0,1,0,1,8
0.6145879472,48.729,0.16247920042,0,0,0,1,0,16,40
0.2697973812,54.57648,0.13289254943,1,0,0,0,1,6,20
0.1349481584,44.83068,0.22155355039,0,0,0,0,1,3,44
0.4196848152,52.62732,0.16247920042,0,1,0,0,0,25,90
0.2398198944,37.03404,0.28062790036,1,0,1,0,0,4,26
0.2848355924,59.44938,0.22155355039,0,0,1,0,0,1,22
0.6145879472,67.24602,0.28062790036,0,0,1,0,0,56,344
0.644565434,21.44076,0.38403275081,0,0,0,1,0,75,452
0.539693698,80.89014,0.25104124937,0,0,1,0,0,37,273
